Date,Open,High,Low,Close,Volume
1/1/2013,19.78,19.82,15.54,16.27,468701540.00
2/1/2013,16.40,17.32,15.63,15.76,333726386.00
3/1/2013,15.64,16.78,14.96,15.81,327768955.00
4/1/2013,15.78,15.90,13.75,15.81,391608033.00
5/1/2013,15.87,16.63,14.96,16.06,337520007.00
6/1/2013,16.10,16.23,13.89,14.16,250760631.00
7/1/2013,14.38,16.33,14.33,16.16,233592849.00
8/1/2013,16.28,18.35,16.19,17.40,287837580.00
9/1/2013,17.61,18.14,15.97,17.03,308426361.00
10/1/2013,17.09,19.26,17.08,18.67,279919004.00
11/1/2013,18.72,19.94,18.30,19.86,186640992.00
12/1/2013,19.93,20.54,19.24,20.04,252080159.00
1/1/2014,19.85,20.01,17.63,17.88,314814081.00
2/1/2014,17.95,19.69,17.83,18.79,210507629.00
3/1/2014,18.69,19.61,18.67,19.17,178835574.00
4/1/2014,19.21,21.41,18.26,21.07,229868623.00
5/1/2014,21.14,23.01,20.73,22.61,204874896.00
6/1/2014,22.64,23.76,22.23,23.23,853222445.00
7/1/2014,23.38,24.86,23.14,23.90,1035409432.00
8/1/2014,23.73,25.73,23.32,25.63,937079462.00
9/1/2014,25.77,25.94,24.04,25.19,1527937649.00
10/1/2014,25.15,27.01,23.80,27.00,1360280122.00
11/1/2014,27.06,29.94,26.93,29.73,820471729.00
12/1/2014,29.70,29.81,26.57,27.60,1073775862.00
1/1/2015,27.85,30.00,26.16,29.29,1305263613.00
2/1/2015,29.51,33.40,29.02,32.12,1136535493.00
3/1/2015,32.31,32.57,30.41,31.11,1138641910.00
4/1/2015,31.21,33.64,30.78,31.29,996135511.00
5/1/2015,31.53,33.24,30.84,32.57,954152126.00
6/1/2015,32.80,32.85,31.12,31.36,878606841.00
7/1/2015,31.73,33.24,29.81,30.33,1058280697.00
8/1/2015,30.38,30.64,23.00,28.19,1607287267.00
9/1/2015,27.54,29.22,26.84,27.58,1206547333.00
10/1/2015,27.27,30.31,26.83,29.88,1113703829.00
11/1/2015,29.97,30.96,27.75,29.58,750640573.00
12/1/2015,29.69,29.97,26.21,26.32,922626259.00
1/1/2016,25.65,26.46,23.10,24.34,1271848087.00
2/1/2016,24.12,24.72,23.15,24.17,810862547.00
3/1/2016,24.41,27.61,24.36,27.25,746136466.00
4/1/2016,27.20,28.10,23.13,23.44,872383623.00
5/1/2016,23.49,25.18,22.37,24.97,901144768.00
6/1/2016,24.76,25.47,22.88,23.90,780630235.00
7/1/2016,23.87,26.14,23.59,26.05,685779613.00
8/1/2016,26.10,27.56,26.00,26.53,630128567.00
9/1/2016,26.54,29.05,25.63,28.26,970096738.00
10/1/2016,28.18,29.67,28.07,28.39,686914224.00
11/1/2016,28.37,28.44,26.02,27.63,721554967.00
12/1/2016,27.59,29.50,27.06,28.96,608771645.00
1/1/2017,28.95,30.61,28.69,30.34,563331160.00
2/1/2017,31.76,34.37,31.75,34.25,574968547.00
3/1/2017,34.47,36.13,34.26,35.92,562091214.00
4/1/2017,35.93,36.37,35.02,35.91,373304090.00
5/1/2017,36.28,39.16,36.07,38.19,654022901.00
6/1/2017,38.29,39.00,35.55,36.01,684178036.00
7/1/2017,36.22,38.50,35.60,37.18,422011831.00
8/1/2017,37.28,41.13,37.10,41.00,661068913.00
9/1/2017,41.20,41.24,37.29,38.53,680442092.00
10/1/2017,38.57,42.41,38.12,42.26,504291118.00
11/1/2017,42.47,44.06,41.32,42.96,600663371.00
12/1/2017,42.49,44.30,41.62,42.31,531184058.00
1/1/2018,42.54,45.03,41.18,41.86,659679440.00
2/1/2018,41.79,45.15,37.56,44.53,927894473.00
3/1/2018,44.64,45.88,41.24,41.95,713727447.00
4/1/2018,41.97,44.73,40.16,41.32,666360147.00
5/1/2018,41.60,47.59,41.32,46.72,620976206.00
6/1/2018,47.00,48.55,45.18,46.28,527624365.00
7/1/2018,45.96,48.99,45.86,47.57,393843881.00
8/1/2018,49.78,57.22,49.33,56.91,700318837.00
9/1/2018,57.10,57.42,53.83,56.44,678972040.00
10/1/2018,56.99,58.37,51.52,54.72,789748068.00
11/1/2018,54.76,55.59,42.57,44.65,961321947.00
12/1/2018,46.12,46.24,36.65,39.44,898343099.00
1/1/2019,38.72,42.25,35.50,41.61,820018451.00
2/1/2019,41.74,43.97,41.48,43.29,471108429.00
3/1/2019,43.57,49.42,42.38,47.49,650981384.00
4/1/2019,47.91,52.12,47.10,50.17,506117812.00
5/1/2019,52.47,53.83,43.75,43.77,739456573.00
6/1/2019,43.90,50.39,42.57,49.48,515218768.00
7/1/2019,50.79,55.34,49.60,53.26,473957121.00
8/1/2019,53.48,54.51,48.15,52.19,683515746.00
9/1/2019,51.61,56.61,51.06,55.99,547408488.00
10/1/2019,56.27,62.44,53.78,62.19,622360483.00
11/1/2019,62.39,67.00,62.29,66.81,448700327.00
12/1/2019,66.82,73.49,64.07,73.41,595460701.00
1/1/2020,74.06,81.96,73.19,77.38,725123915.00
2/1/2020,76.08,81.81,64.09,68.34,752672624.00
3/1/2020,70.57,76.00,53.15,63.57,1567250804.00
4/1/2020,61.63,73.63,59.23,73.45,812583397.00
5/1/2020,71.56,81.06,71.46,79.49,699113114.00
6/1/2020,79.44,93.10,79.30,91.20,803926243.00
7/1/2020,91.28,106.42,89.15,106.26,742225679.00
8/1/2020,108.20,131.00,107.89,129.04,1179670166.00
9/1/2020,132.76,137.98,103.10,115.81,3842746891.00
10/1/2020,117.64,125.39,107.72,108.86,2880352626.00
11/1/2020,109.11,121.99,107.32,119.05,2109257381.00
12/1/2020,121.01,138.79,120.01,132.69,2309639572.00
1/1/2021,133.52,145.09,126.38,131.96,2236654333.00
2/1/2021,133.75,137.88,118.39,121.26,1834022593.00
3/1/2021,123.75,128.72,116.21,122.15,2650845211.00
4/1/2021,123.66,137.07,122.49,131.46,1889669721.00
5/1/2021,132.04,134.07,122.25,124.61,1711181106.00
6/1/2021,125.08,137.41,123.13,136.96,1604290694.00
7/1/2021,136.60,150.00,135.76,145.86,1919127917.00
8/1/2021,146.36,153.49,144.50,151.83,1463302097.00
9/1/2021,152.83,157.26,141.27,141.50,1797948421.00
10/1/2021,141.90,153.17,138.27,149.80,1565079040.00
11/1/2021,148.99,165.70,147.48,165.30,1691028845.00
12/1/2021,167.48,182.13,157.80,177.57,2445627956.00
1/1/2022,177.83,182.94,154.70,174.78,2109283280.00
2/1/2022,174.01,176.65,152.00,165.12,1629275348.00
3/1/2022,164.70,179.61,150.10,174.61,2180882413.00
4/1/2022,174.03,178.49,155.38,157.65,1687873175.00
5/1/2022,156.71,166.48,132.61,148.84,2401040455.00
6/1/2022,149.90,151.74,129.04,136.72,1749297959.00
7/1/2022,136.04,163.63,135.66,162.51,1447364668.00
8/1/2022,161.01,176.15,157.14,157.22,1510324936.00
9/1/2022,156.64,164.26,138.00,138.20,2084775201.00
10/1/2022,138.21,157.50,134.37,153.34,1868381344.00
11/1/2022,155.08,155.45,134.38,148.03,1724948219.00
12/1/2022,148.21,150.92,125.87,129.93,1675731304.00
1/1/2023,130.28,147.23,124.17,144.29,1443652725.00
