Date,Open,High,Low,Close,Volume
1/1/2013,12.80,14.24,12.66,13.28,84264285.00
2/1/2013,13.45,13.72,12.76,13.21,68686998.00
3/1/2013,13.16,13.87,12.60,13.32,58524057.00
4/1/2013,13.35,13.79,12.43,12.69,76945608.00
5/1/2013,12.70,13.60,12.29,13.46,59068021.00
6/1/2013,13.45,14.17,13.15,13.88,58597336.00
7/1/2013,13.95,15.68,13.86,15.06,67640977.00
8/1/2013,15.15,15.31,13.97,14.05,43808709.00
9/1/2013,14.24,16.03,14.21,15.63,43504823.00
10/1/2013,15.71,18.42,14.83,18.20,77363561.00
11/1/2013,18.28,19.71,17.09,19.68,54248224.00
12/1/2013,19.95,20.28,18.98,19.94,55737811.00
1/1/2014,19.94,20.40,17.89,17.93,81581111.00
2/1/2014,17.95,18.29,16.89,18.11,83112465.00
3/1/2014,17.94,19.16,16.54,16.82,75312571.00
4/1/2014,16.90,17.41,14.40,15.21,138318802.00
5/1/2014,15.21,15.74,14.22,15.63,78608877.00
6/1/2014,15.63,17.04,15.19,16.24,76634661.00
7/1/2014,16.29,18.24,15.59,15.65,99490741.00
8/1/2014,15.68,17.33,15.23,16.95,62078025.00
9/1/2014,17.00,17.47,15.88,16.12,68101189.00
10/1/2014,16.10,16.26,14.20,15.27,111120640.00
11/1/2014,15.31,17.06,14.61,16.93,68993021.00
12/1/2014,16.91,17.03,14.65,15.52,86874154.00
1/1/2015,15.63,17.98,14.26,17.73,103061942.00
2/1/2015,17.50,19.47,17.50,19.01,70847240.00
3/1/2015,19.04,19.42,18.28,18.61,55502746.00
4/1/2015,18.61,22.63,18.42,21.09,84404887.00
5/1/2015,21.19,21.95,20.73,21.46,51984199.00
6/1/2015,21.52,22.35,20.96,21.70,54989227.00
7/1/2015,21.97,29.03,21.28,26.81,102069942.00
8/1/2015,26.87,27.14,22.55,25.64,82915685.00
9/1/2015,24.96,27.49,24.53,25.59,76768850.00
10/1/2015,25.55,31.54,25.30,31.30,97188843.00
11/1/2015,31.36,34.14,31.02,33.24,87304837.00
12/1/2015,33.69,34.82,31.76,33.79,90194571.00
1/1/2016,32.81,32.89,27.36,29.35,130200780.00
2/1/2016,28.91,29.09,23.70,27.63,124144797.00
3/1/2016,27.81,30.16,26.93,29.68,94014971.00
4/1/2016,29.52,33.50,29.26,32.98,78464320.00
5/1/2016,33.20,36.21,32.80,36.14,90623145.00
6/1/2016,36.05,36.58,34.11,35.78,74556809.00
7/1/2016,35.87,38.30,35.83,37.94,68635440.00
8/1/2016,37.99,38.75,37.52,38.46,50000397.00
9/1/2016,38.55,42.00,37.80,41.87,67354133.00
10/1/2016,41.80,42.36,38.73,39.49,77063812.00
11/1/2016,39.95,40.04,35.51,37.53,110085967.00
12/1/2016,37.62,39.12,36.84,37.49,73660584.00
1/1/2017,37.90,42.19,37.39,41.17,70714587.00
2/1/2017,41.46,43.04,40.15,42.25,71748231.00
