Date,Open,High,Low,Close,Volume
1/1/2013,27.25,28.23,26.28,27.45,1145115182.00
2/1/2013,27.67,28.20,27.10,27.80,780654276.00
3/1/2013,27.72,28.66,27.52,28.61,845032620.00
4/1/2013,28.64,33.11,28.11,33.10,1465815366.00
5/1/2013,32.93,35.28,32.32,34.90,1071952411.00
6/1/2013,34.92,35.78,32.57,34.55,945223686.00
7/1/2013,34.75,36.43,31.02,31.84,1111194572.00
8/1/2013,32.06,35.20,30.84,33.40,1051312159.00
9/1/2013,31.75,33.75,30.95,33.28,1245168585.00
10/1/2013,33.35,36.29,32.80,35.41,965360086.00
11/1/2013,35.67,38.29,35.39,38.13,800462910.00
12/1/2013,38.09,38.98,35.53,37.41,826638293.00
1/1/2014,37.35,37.89,34.63,37.84,932088007.00
2/1/2014,37.74,38.46,35.69,38.31,718232083.00
3/1/2014,37.92,41.50,37.50,40.99,778550220.00
4/1/2014,41.15,41.66,38.90,40.40,746148707.00
5/1/2014,40.24,40.97,38.51,40.94,574399726.00
6/1/2014,40.95,42.29,39.86,41.70,555812233.00
7/1/2014,41.86,45.71,41.05,43.16,731660016.00
8/1/2014,43.21,45.47,42.21,45.43,513934779.00
9/1/2014,45.43,47.57,44.53,46.36,860844169.00
10/1/2014,46.27,46.97,42.10,46.95,853297059.00
11/1/2014,46.89,50.05,46.73,47.81,523008240.00
12/1/2014,47.88,49.06,44.90,46.45,626810606.00
1/1/2015,46.66,47.91,40.35,40.40,918966561.00
2/1/2015,40.59,44.30,40.23,43.85,656509827.00
3/1/2015,43.67,44.19,40.54,40.66,824335340.00
4/1/2015,40.60,49.54,40.12,48.64,874535095.00
5/1/2015,48.58,48.91,46.02,46.86,633072750.00
6/1/2015,47.06,47.77,43.94,44.15,664853340.00
7/1/2015,44.46,47.40,43.32,46.70,725458102.00
8/1/2015,46.98,48.41,39.72,43.52,776497465.00
9/1/2015,42.17,45.00,41.66,44.26,673079858.00
10/1/2015,44.75,54.37,43.75,52.64,857330655.00
11/1/2015,52.85,54.98,52.53,54.35,662626721.00
12/1/2015,54.41,56.85,53.68,55.48,793070000.00
1/1/2016,54.32,55.39,49.10,55.09,927914485.00
2/1/2016,54.88,55.09,48.19,50.88,814770780.00
3/1/2016,50.97,55.64,50.58,55.23,641131952.00
4/1/2016,55.05,56.77,49.35,49.87,699025640.00
5/1/2016,50.00,53.00,49.46,53.00,530869347.00
6/1/2016,52.44,52.95,48.04,51.17,823987498.00
7/1/2016,51.13,57.29,50.39,56.68,647587634.00
8/1/2016,56.60,58.70,56.14,57.46,467079004.00
9/1/2016,57.01,58.19,55.61,57.60,526855083.00
10/1/2016,57.41,61.37,56.32,59.92,614841775.00
11/1/2016,59.97,61.41,57.28,60.26,613056964.00
12/1/2016,60.11,64.10,58.80,62.14,513579428.00
1/1/2017,62.79,65.91,61.95,64.65,494435826.00
2/1/2017,64.36,65.24,62.75,63.98,440744043.00
3/1/2017,64.13,66.19,63.62,65.86,489173200.00
4/1/2017,65.81,69.14,64.85,68.46,433191187.00
5/1/2017,68.68,70.74,67.14,69.84,517291484.00
6/1/2017,70.24,72.89,68.09,68.93,629716618.00
7/1/2017,69.33,74.42,68.02,72.70,469851277.00
8/1/2017,73.10,74.96,71.28,74.77,442761884.00
9/1/2017,74.71,75.97,72.92,74.49,376670198.00
10/1/2017,74.71,86.20,73.71,83.18,449949950.00
11/1/2017,83.68,85.06,82.24,84.17,421925859.00
12/1/2017,83.60,87.50,80.70,85.54,466203334.00
1/1/2018,86.13,95.45,85.50,95.01,574258506.00
2/1/2018,94.79,96.07,83.83,93.77,725663228.00
3/1/2018,93.99,97.24,87.08,91.27,750754886.00
4/1/2018,90.47,97.90,87.51,93.52,668258570.00
5/1/2018,93.21,99.99,92.45,98.84,509418119.00
6/1/2018,99.28,102.69,97.26,98.61,602585341.00
7/1/2018,98.10,111.15,98.00,106.08,569501573.00
8/1/2018,106.03,112.78,104.84,112.33,456630721.00
9/1/2018,110.85,115.29,107.23,114.37,480255674.00
10/1/2018,114.75,116.18,100.11,106.81,927547957.00
11/1/2018,107.05,112.24,99.35,110.89,720228643.00
12/1/2018,113.00,113.42,93.96,101.57,944287635.00
1/1/2019,99.55,107.90,97.20,104.43,714204787.00
2/1/2019,103.78,113.24,102.35,112.03,469095970.00
3/1/2019,112.89,120.82,108.80,117.94,589045341.00
4/1/2019,118.95,131.37,118.10,130.60,433157868.00
5/1/2019,130.53,130.65,123.04,123.68,547218448.00
6/1/2019,123.85,138.40,119.01,133.96,508324437.00
7/1/2019,136.63,141.68,134.67,136.27,484553323.00
8/1/2019,137.00,140.94,130.78,137.86,585577311.00
9/1/2019,136.61,142.37,134.51,139.03,477645820.00
10/1/2019,139.66,145.67,133.22,143.37,563293196.00
11/1/2019,144.26,152.50,142.97,151.38,393028043.00
12/1/2019,151.81,159.55,146.65,157.70,452664147.00
1/1/2020,158.78,174.05,156.51,170.23,559254061.00
2/1/2020,170.43,190.70,152.00,162.01,887894931.00
3/1/2020,165.31,175.00,132.52,157.71,1612954386.00
4/1/2020,153.00,180.40,150.36,179.21,984810925.00
5/1/2020,175.80,187.51,173.80,183.25,688959853.00
6/1/2020,182.54,204.40,181.35,203.51,765012029.00
7/1/2020,203.14,216.38,197.51,205.01,770510188.00
8/1/2020,211.52,231.15,203.14,225.53,692504241.00
9/1/2020,225.51,232.86,196.25,210.33,768528897.00
10/1/2020,213.49,225.21,199.62,202.47,631674298.00
11/1/2020,204.29,228.12,200.12,214.07,573474483.00
12/1/2020,214.51,227.18,209.11,222.42,594571054.00
1/1/2021,222.53,242.64,211.94,231.96,647998091.00
2/1/2021,235.06,246.13,227.88,232.38,490981819.00
3/1/2021,235.90,241.05,224.26,235.77,724981506.00
4/1/2021,238.47,263.19,238.05,252.18,568648546.00
5/1/2021,253.40,254.35,238.07,249.68,494825712.00
6/1/2021,251.23,271.65,243.00,270.90,507664907.00
7/1/2021,269.61,290.15,269.60,284.91,522689102.00
8/1/2021,286.36,305.84,283.74,301.88,441326364.00
9/1/2021,302.87,305.32,281.62,281.92,502931199.00
10/1/2021,282.12,332.00,280.25,331.62,516523658.00
11/1/2021,331.36,349.67,326.37,330.59,509503364.00
12/1/2021,335.13,344.30,317.25,336.32,625971723.00
1/1/2022,335.35,338.00,276.05,310.98,947989143.00
2/1/2022,310.41,315.12,271.52,298.79,697371641.00
3/1/2022,296.40,315.95,270.00,308.31,734347239.00
4/1/2022,309.37,315.11,270.00,277.52,627389584.00
5/1/2022,277.71,290.88,246.44,271.87,742902025.00
6/1/2022,275.20,277.69,241.51,256.83,621501474.00
7/1/2022,256.39,282.00,245.94,280.74,534986150.00
8/1/2022,277.82,294.18,260.66,261.47,477176206.00
9/1/2022,258.87,267.45,232.73,232.90,575595195.00
10/1/2022,235.41,251.04,219.13,232.13,671366804.00
11/1/2022,234.60,255.33,213.43,255.14,615328220.00
12/1/2022,253.87,263.92,233.87,239.82,591102709.00
1/1/2023,243.08,249.83,219.35,247.81,666168068.00
