Date,Open,High,Low,Close,Volume
1/1/2013,3.14,3.3,2.98,3.07,229572354
2/1/2013,3.09,3.21,3.01,3.17,247552944
3/1/2013,3.14,3.25,3.08,3.21,165350118
4/1/2013,3.2,3.44,3.01,3.44,234660058
5/1/2013,3.44,3.75,3.38,3.62,207302948
6/1/2013,3.62,3.87,3.46,3.51,232402932
7/1/2013,3.54,3.7,3.49,3.61,130752753
8/1/2013,3.62,3.85,3.28,3.69,196454635
9/1/2013,3.7,4.03,3.67,3.89,120616884
10/1/2013,3.9,4,3.75,3.8,144320860
11/1/2013,3.82,4.08,3.63,3.9,165742915
12/1/2013,3.89,4.03,3.73,4.01,154213190
1/1/2014,3.98,4.11,3.83,3.93,135455500
2/1/2014,3.95,4.76,3.83,4.6,193121251
3/1/2014,4.49,4.74,4.39,4.48,180462792
4/1/2014,4.62,4.87,4.47,4.62,173435525
5/1/2014,4.69,4.78,4.43,4.75,140319942
6/1/2014,4.77,4.93,4.56,4.64,131929908
7/1/2014,4.63,4.9,4.35,4.38,156733216
8/1/2014,4.38,4.87,4.34,4.86,152023064
9/1/2014,4.88,5.04,4.56,4.61,137810992
10/1/2014,4.62,4.89,4.19,4.89,165190718
11/1/2014,5,5.27,4.84,5.24,116079517
12/1/2014,5.22,5.31,4.78,5.01,106485166
1/1/2015,5.03,5.19,4.77,4.8,103509462
2/1/2015,4.83,5.63,4.74,5.52,104839455
3/1/2015,5.5,5.9,5.12,5.23,182761992
4/1/2015,5.25,5.71,5.16,5.55,141841084
5/1/2015,5.6,5.72,5.1,5.53,177033827
6/1/2015,5.57,5.65,4.99,5.03,183345778
7/1/2015,5.15,5.23,4.77,4.99,137012807
8/1/2015,5.03,5.99,4.96,5.62,236738754
9/1/2015,5.46,6.17,5.35,6.16,162006972
10/1/2015,6.16,7.2,5.87,7.09,201349013
11/1/2015,7.12,7.99,6.91,7.93,183626338
12/1/2015,8,8.49,7.99,8.24,140644255
1/1/2016,8.07,8.36,6.61,7.32,203476313
2/1/2016,7.32,8.03,6.19,7.84,225001134
3/1/2016,7.86,9.06,7.76,8.91,164454439
4/1/2016,8.85,9.37,8.66,8.88,168356804
5/1/2016,8.97,11.7,8.6,11.68,259213398
6/1/2016,11.63,12.14,11.14,11.75,204978756
7/1/2016,11.69,14.31,11.51,14.28,180251256
8/1/2016,14.34,15.87,13.88,15.34,232628024
9/1/2016,15.35,17.3,14.33,17.13,216644185
10/1/2016,17.13,18.24,15.93,17.79,163789051
11/1/2016,17.86,23.81,16.64,23.05,319186695
12/1/2016,23.03,29.98,21.19,26.69,452055630
1/1/2017,26.1,27.97,24.78,27.3,334936385
2/1/2017,27.65,30.23,23.93,25.37,355169590
3/1/2017,25.95,27.5,23.79,27.23,357243119
4/1/2017,27.24,27.41,23.87,26.08,239314240
5/1/2017,26.19,36.75,25.58,36.09,480270766
6/1/2017,36.25,42.13,35.53,36.14,586138059
7/1/2017,36.26,42.48,34.65,40.63,387275410
8/1/2017,40.53,43.64,38.23,42.36,368205214
9/1/2017,42.49,47.8,40.68,44.69,361216519
10/1/2017,45.2,51.97,44.25,51.7,285566473
11/1/2017,52.34,54.67,47.81,50.18,295772501
12/1/2017,49.83,50.08,45.15,48.38,252805405
1/1/2018,48.95,62.32,48.63,61.45,286405440
2/1/2018,59.63,62.99,51,60.5,372888388
3/1/2018,60.48,63.63,54.25,57.9,352961263
4/1/2018,57.19,59.81,52.58,56.23,278629731
5/1/2018,56.14,65.13,55.55,63.05,299456113
6/1/2018,63.5,67.3,58.75,59.23,219638498
7/1/2018,58.52,64.15,58.32,61.22,158081687
8/1/2018,61.53,70.43,59.68,70.17,272922956
9/1/2018,70.04,71.31,64.67,70.26,158504898
10/1/2018,71.04,73.19,44,52.71,324409461
11/1/2018,53.08,55.5,33.33,40.86,403198174
12/1/2018,43.15,43.67,31.12,33.38,310791242
1/1/2019,32.66,40.22,31.92,35.94,421598397
2/1/2019,36.13,41.32,35.65,38.57,285939008
3/1/2019,39.07,46.25,36.2,44.89,301712810
4/1/2019,45.82,48.37,43.33,45.25,236076606
5/1/2019,45.78,46.22,33.85,33.87,279518852
6/1/2019,33.98,41.34,33.15,41.06,205833345
7/1/2019,43.14,44.72,38.75,42.18,210468645
8/1/2019,42.29,43.36,36.85,41.88,238734278
9/1/2019,41.15,47.1,40.81,43.52,160186748
10/1/2019,43.75,52.23,42.53,50.26,194880860
11/1/2019,49.9,55.35,49.65,54.19,183272346
12/1/2019,54.12,60.45,50.09,58.83,163319429
1/1/2020,59.69,64.88,57.82,59.11,152215367
2/1/2020,58.93,79.08,58.86,67.52,295941445
3/1/2020,69.23,71.22,45.17,65.9,393869108
4/1/2020,63.91,76.05,59.6,73.07,280476613
5/1/2020,71.09,91.82,70.21,88.76,312168545
6/1/2020,88.33,96.43,86.58,94.98,241826191
7/1/2020,95.21,107.92,94.13,106.15,201409793
8/1/2020,107.33,135.75,107.15,133.75,239364550
9/1/2020,134.8,147.27,117.04,135.31,394003780
10/1/2020,137.58,143.49,123,125.34,199142665
11/1/2020,126.58,146.92,123.95,134.02,187131101
12/1/2020,134.92,137.31,127.63,130.55,127433504
1/1/2021,131.04,139.99,125.86,129.9,153520609
2/1/2021,130.53,153.73,129.03,137.15,167036950
3/1/2021,138.75,139.25,115.67,133.48,191236844
4/1/2021,135.72,162.14,135.11,150.1,167819727
5/1/2021,151.25,162.77,134.59,162.45,176345997
6/1/2021,162.7,201.63,159.03,200.03,256613660
7/1/2021,201.25,208.75,178.66,194.99,372178330
8/1/2021,197,230.43,187.62,223.85,641687216
9/1/2021,224.85,229.86,204.67,207.16,499956172
10/1/2021,207.5,257.09,195.55,255.67,497107602
11/1/2021,256.49,346.47,252.27,326.76,1081117060
12/1/2021,332.19,332.89,271.45,294.11,1106280561
1/1/2022,298.15,307.11,208.88,244.86,1068458188
2/1/2022,251.04,269.25,208.9,243.85,1064615187
3/1/2022,242.91,289.46,206.5,272.86,1164519427
4/1/2022,273.75,275.58,182.9,185.47,1111497682
5/1/2022,185.41,204,155.67,186.72,1383301858
6/1/2022,187.24,196.19,148.62,151.59,1055676405
7/1/2022,148.99,182.44,140.55,181.63,1056635538
8/1/2022,181.82,192.74,149.59,150.94,1207157072
9/1/2022,142.09,145.47,119.46,121.39,1313109682
10/1/2022,123.47,138.5,108.13,134.97,1255185787
11/1/2022,138.11,169.98,129.56,169.23,1060101416
12/1/2022,169.99,187.9,138.84,146.14,894615121
1/1/2023,148.51,206.28,140.34,195.37,945495814
